,location,downloads
0,total.United Kingdom.total,8
1,total.United Kingdom.Edinburgh,2
2,total.United Kingdom.Basildon,1
3,total.United Kingdom.Birmingham,1
4,total.United Kingdom.Bridgend,1
5,total.United Kingdom.Newcastle upon Tyne,1
6,total.United Kingdom.Totnes,1
7,total.United Kingdom.Unknown,1
8,total.Denmark.total,7
9,total.Denmark.Copenhagen,4
10,total.Denmark.Kongens Lyngby,1
11,total.Denmark.RÃ¸dovre Municipality,1
12,total.Denmark.Unknown,1
13,total.Belgium.total,3
14,total.Belgium.Ixelles-Elsene,2
15,total.Belgium.Brussels,1
16,total.France.total,2
17,total.France.Saint-Herblain,1
18,total.France.Unknown,1
19,total.United States.total,2
20,total.United States.San Francisco,1
21,total.United States.Unknown,1
22,total.New Zealand.total,1
23,total.New Zealand.Wellington,1
24,total.Poland.total,1
25,total.Poland.Warsaw,1
26,total.Sweden.total,1
27,total.Sweden.Malmo,1
